Аддон дополнение Improved UI — Dragonflight для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-improved-ui-dragonflight-dlya-wow-sirus-335a.html;С учетом возрастающего интереса к переработанному интерфейсу на официальных серверах, я хотел бы представить свою подборку дополнений, которые воссоздают этот самый обновленный интерфейс от компании Blizzard. Ниже представлена…;2 755 просмотров
Аддон SexyCooldown для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-sexycooldown-dlya-wow-sirus-335a.html;Аддон SexyCooldown предназначен для наглядного и эффективного отслеживания времени перезарядки способностей и аксессуаров. Этот инструмент был разработан специализированно для игрового портала Sirus.su. Функционал аддона включает в себя универсальную…;2 347 просмотров
Аддон Nezvezdi — распредели свои созвездия для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-nezvezdi-raspredeli-svoi-sozvezdiya-dlya-wow-sirus-335a.html;Аддон Nezvezdi был разработан для использования в рамках проекта Sirus.su и предназначен для облегчения процесса распределения расовых аур между участниками группы, что обеспечивает повышенную эффективность во время рейдов….;523 просмотров
Аддон Lorti UI для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-lorti-ui-dlya-wow-sirus-335a.html;Работающий адаптированный аддон Lorti UI для сервера Sirus В связи с особенностями пользовательского интерфейса сервера, данная версия аддона Lorti UI была разделена на две компоненты: основной модуль аддона…;2 382 просмотров
Аддон Roulette History для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-roulette-history-dlya-wow-sirus-335a.html;Аддон для визуализации вероятностей неудач в рулетке. Этот аддон отслеживает ваши победы в рулетке и отображает статистику в табличной форме, чтобы вы могли оценить вероятность выигрыша вашего персонажа,…;585 просмотров
Аддон TradeSkillMaster (TSM) для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-tradeskillmaster-tsm-dlya-wow-sirus-3-3-5a.html;TradeSkillMaster (TSM) — это аддон, призванный помочь как случайным золотодобытчикам, так и опытным игрокам оптимизировать процесс добычи золота. Возможности TSM включают в себя все: от улучшения ремесла и…;6 268 просмотров
Аддон HealBot Classic и Retail для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-healbot-classic-i-retail-dlya-wow-sirus-3-3-5a.html;HealBot Classic и Retail — оригинальный аддон для хилов, который продолжает давать все больше и больше. Настраивайте и оформляйте собственные рамки юнитов с настраиваемыми параметрами каста по клику….;3 649 просмотров
Аддон ArkInventory для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-arkinventory-dlya-wow-sirus-3-3-5a.html;ArkInventory — это аддон к WotLK для патча 3.3.5a, который обеспечивает улучшенную функциональность ваших сумок и инвентаря. Особенности: Команды:;7 384 просмотров
Аддон Skinner для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-skinner-dlya-wow-sirus-3-3-5a.html;Аддон Skinner меняет внешний вид стандартного пользовательского интерфейса (Wow Retail & Classic). Инструкция;5 173 просмотров
Аддон TellMeWhen для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-tellmewhen-dlya-wow-sirus-3-3-5a.html;TellMeWhen — это аддон для WoW, который предоставляет визуальные, слуховые и текстовые уведомления о свертываемости, баффах/дебаффах и практически всех других элементах боя. Можно отслеживать любые из следующих параметров:…;9 725 просмотров
Аддон Ovale Spell Priority для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-ovale-spell-priority-dlya-wow-sirus-3-3-5a.html;Аддон Ovale Spell Priority — это помощник для ротации, который показывает, какое заклинание или способность следует использовать для получения максимального урона. Он отображает одну или несколько иконок, показывающих…;7 348 просмотров
GatherMate2_Data для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/gathermate2_data-dlya-wow-sirus-3-3-5a.html;GatherMate2_Data — это база данных для аддона GatherMate2. Установите это дополнение и оно будет показыватьвам всю траву, руду, сундучки, точки для рыбной ловли и т.д, все данные предоставляються…;15 117 просмотров
Аддон Auctioneer Suite для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-auctioneer-suite-dlya-wow-sirus-3-3-5a.html;Аддон Auctioneer Suite предоставляет инструменты и данные, необходимые для принятия сложных аукционных задач. От покупки до выставления на аукцион — Auctioneer Suite предоставляет проверенные временем инструменты, которые позволят…;2 336 просмотров
Аддон GatherMate2 для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-gathermate2-dlya-wow-sirus-3-3-5a.html;Аддон GatherMate2 позволяет собирать и отслеживать травы, рудники, рыболовные бассейны, газовые облака, археологические находки и сокровища, а также отображает их на карте мира и мини-карте. GatherMate запоминает расположение…;9 669 просмотров
Аддон Skada damage meter для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-skada-damage-meter-dlya-wow-sirus-3-3-5a.html;Аддон Skada damage meter — это модульный измеритель урона с различными режимами просмотра, сегментированными боями и настраиваемыми окнами. Он ориентирован на высокую эффективность использования памяти и процессора.;8 434 просмотров
Аддон NPCScan для Wow Sirus 3.3.5a;https://wow-sirus.ru/addony/addon-npcscan-dlya-wow-sirus-3-3-5a.html;Аддон NPCScan помогает находить NPC путем сканирования, используя поиск по табличкам, виньеткам на карте, наведению мыши на цели, а также с помощью дополнительной привязки к клавишам динамического таргетинга….;7 908 просмотров
